headline,text,high_label,label
Minister announces forum on violence as he visits care home (adds),"""This case must serve as a reminder that we as a state do too little to prevent violence and that new strategies are needed to address it"", the minister said.

He added that ""violence is unacceptable. As a society, we must have zero tolerance to it, and we must all work together to ensure it does not occur or happen again.""

While working during her summer holidays, a secondary school student assaulted an elderly woman at the Trebnje care home last month, pulling the woman's hair and pinching her nose.

The student recorded the abuse of the woman herself and posted it on social media. The care home was alerted to the abuse in anonymous e-mails, which the care home forwarded to the police.

Maljevac said the care home's director Petra Kušar Stojakovič reacted adequately to protect the victim and report the abuser to the police.

He also believes that the ministry must approach violence actively rather than just reacting when excessive incidents occur.

A forum of experts from the field will thus be held on Monday to ""devise measures that we as a society must take to address violence against the elderly and in general"", said Maljevac.

Kušar Stojakovič deeply regretted the incident and expressed her sympathies with the victims, but could not provide details as the police investigation is ongoing.

She only confirmed the violence was perpetrated by a female secondary school student under the age of 18 who worked to earn some money during her summer school break.

The director said they had acted based on anonymous e-mails about the abuse, ""which indicated at extortion"", and immediately turned to the police.

The care home also opened an internal review, which is still under way, and informed all bodies that must be informed in such cases.

All the other residents apart from the victim will also receive all the needed help and psychosocial support, as will their relatives and the staff.

""We are committed to sanctioning any harmful misconduct at the care home. No harmful behaviour is tolerated at our care home,"" the director said.

She explained that all temps from secondary schools or university are first briefed on the nature of the work, then they get a mentor to supervise them.

In hiring student workers over the holidays, the care home works closely with schools, added Kušar Stojakovič.

Human Rights Ombudsman Peter Svetina is appalled and concerned by the videos of violence against the elderly at the Trebnje home. He reiterated the call for zero tolerance towards violence and announced a meeting with the relevant institutions to discuss the issue.

The Human Rights Ombudsman has recently received several different petitions about allegations of violence in care homes and the office turned to the care homes mentioned for explanations.

""We are requesting clarifications from them, and we have also contacted other competent institutions, with whom we will meet shortly on this issue, as we want to work together to prevent all forms of violence against the elderly,"" Svetina said in a press release.

He said violence against the elderly was particularly worrying, as it often takes place behind four walls, within families or institutions and it concerns ""one of the most vulnerable groups of our society"".

He called for more preventive measures, especially among the young, and for raising awareness about what is mistreatment, as victims are often unaware of the fact that they are being subject to violence.

The Pensioners' Association (ZDUS) expressed concern over the actions of the high school student and noted that stereotypes about the elderly as being helpless and confused should be overcome to enable them a decent and equal treatment in society.

""We reiterate the need for the competent institutions to invest in the training and education of all professional groups that work with the elderly,"" said ZDUS president Zdenka Jan. She called for a respectful and sensitive attitude towards the elderly.

Commercial broadcaster Kanal A reported today police were investigating suspicion of violent behaviour in relation to the incident in whch a 16-year-old girl from the Novo Mesto area was a suspect.","crime, law and justice","crime, law and justice"
Ten suffer carbon monoxide poisoning during flood relief effort,"Robert Carotta, the chief physician of the SAF, said in a press statement yesterday that the clean-up work in the cellar had taken place in the afternoon and had been headed by a fire brigade.

A total of 32 people were exposed to carbon monoxide in the cellar - 18 members of the Army of North Macedonia, eight firefighters and six members of the SAF.

All of them were examined and treated on the spot by Carotta, who assessed that their lives were not at risk.

Five members of the SAF, two members of the Army of North Macedonia and one firefighter were then sent to the nearest hospital for further treatment and observation.

In the evening, the condition of another two exposed firefighters deteriorated, and they were also taken by ambulance to the Slovenj Gradec general hospital, Carotta said.

While taking part in the flood relief efforts in Črna na Koroškem, the army applies high standards of safety measures, with a medical team being constantly present on the ground to provide immediate assistance and ensure safe evacuation, the SAF said.",disaster and accident,disaster and accident
Giant ancient dugout found in Mura after massive floods,"This assumption is made based on the characteristics of the stern and the dugout's size, which correspond to those of the vessels used in Central and Western Europe in the late Bronze Age and Iron Age, when the transport needs increased due to demographic and economic rise in the early first millennium BC.

The dugout was found in mid-September by Ljubomir Zečević, a connoisseur of the natural and cultural heritage of the Prekmurje region. He immediately informed director of the regional museum, archaeologist Branko Kerman, of the find, archaeology institute Skupina Stik said.

The dugout probably surfaced during the massive floods that hit the country in August and has been labelled a spectacular find.

Zečevič, Kerman and a conservator from the Institute for the Protection of Cultural Heritage, visited the site to determine that that the canoe was dug out of an oak tree with a hand tool.

The find is said to be spectacular because of the length of the vessel - which is more than 11 metres - and an interesting and rare type of stern, ending in a massive vertical plank inserted into a groove.

The experts say that the original location of the vessel is difficult to determine, but it is almost certain that the floods could not have ripped it out of the nearby plains but that the dugout had probably rested in the sediments of the Mura riverbed upstream from the spot where it was found.

Based on the studies of dugouts of comparable size it could be concluded that this one could carry between nine and 14 persons or a corresponding amount of cargo and a two- to three-member crew.

The Institute for the Protection of Cultural Heritage has ordered the dugout to be transferred to a safe location. Several history and archaeology institutes, including the Archaeology Department of the Faculty of Arts from Ljubljana, will join forces to pull out the vessel this weekend.

The dugout will be secured and fastened to a support platform, on which it will be moved downstream along the Mura to a spot from where it can be lifted. It will then be transported to the Murska Sobota Lake, where it will be stored at the bottom of the lake pending a decision on further conservation procedures, Skupina Stik said.",sport,disaster and accident
RTV Slovenija director general called on to resign,"In the ruling announced on Wednesday, the court said that the appointment was unlawful because Grah Whatmough had lacked three years of experience to run large business organisations. His appointment was challenged by his predecessor Igor Kadunc.

The appellate court said that the lower court did not apply substantive law correctly when it ruled in July 2022 that as director of two one-man companies and as the chair of the RTV supervisory board, he had gained experience in organising and managing large business organisations.

The RTV Slovenija works council, the association of in-house trade unions, and the Trade Union of Journalists said on Friday as they commented on the court decision that it ""confirms their warnings"".

""The ruling upholds the voices of critical employees and critical public that, in a time of serious financial, organisational and management crisis, the highest post at RTV is being held by a person who has no experience in managing such a system.""

They added that the ruling must also be read in light of the move from March 2022, when Grah Whatmough presented the RTV Slovenija programme council with an initiative for his own resignation and for publishing a new call for applications to which he would apply although he still had a valid mandate.

However, the job requirements were changed so that a minimum of three years of experience in running a large business organisation was no longer a requirement, with the organisations noting at the time that this ran against the legislative and statutory provisions.

In their opinion, the verdict of the Higher Labour Court confirms that legislation is being systematically circumvented and that the RTV Slovenija management is undermining the professional standards and encroaching on journalist and editorial autonomy.

They believe that the current management ""resorts to unlawful and ethically objectionable moves in order to remain in power and continue the disputable transformation of public broadcaster"". They thus called on Grah Whatmough to resign, otherwise the programme council should dismiss him.",labour,labour
Golob: Govt decision in principle on second nuclear reactor by 1 August (adds),"Speaking at the discussion on the future of nuclear energy in Slovenia, Golob said the ""journey is long but we are going to take it"", but added that it was not necessarily irreversible.

According to the prime minister, concrete legislative steps will be needed. He hinted at the possibility of drafting a special bill on the second reactor and it siting. ""If we follow the current legislation, Krško 2 will be built in 2047. /.../ Unless we radically change our approach, we will not live to see it.""

Golob also mentioned the possibility of several bills dealing with the project, assessing that each would be put to a referendum.

Teams will have to be set up to deal with the project, he said, announcing that Danijel Levičar, business director at energy company Gen Energija, would coordinate the project at the prime minister's office.

Even when it stops using coal for energy, Slovenia will need to have diverse sources like it has had so far, so apart from the nuclear energy the government will also develop hydro-energy and other renewables, he said.

""None of the sources are in competition with each other. We need all of them,"" he said, noting that electricity needs in the future would be much higher than today.

Minister of the Environment, Climate and Energy Bojan Kumer and Natural Resources and Spatial Planning Minister Uroš Brežan also took part in the debate with Kumer announcing an upgrade to the national energy and climate plan, which will set a clear long-term plan for the use of nuclear energy, which will not be restricted only to Krško 2, but will allow for a wider use of nuclear energy.

Brežan said that the strategy on spatial development by 2050 will also speak of continued use of nuclear energy with the possibility of a second nuclear facility without specifying either the technology or location.

Gen Energija CEO Dejan Paravan said the company had realised that focussing on a single 1100 megawatt reactor, as is the plan for now, was not the best, as the global circumstances have changed. The interest of investors has also increased, both from Slovenia and other countries.

In line with this, the spatial plans will envisage an up to 1600 megawatt facility.

After the summer holidays, Gen Energija will start a public discussion with stakeholders, but it is clear that the company cannot finance the project on its own and is open to co-investment. A comprehensive study on the financial structure and business models related to the reactor power will be completed by the end of 2024.

Commenting on initiatives for participating in the financing, Golob said that everyone who wanted to have long-term access to energy on equal terms should have the opportunity to take part. ""The government will support mixed investor models, not least because it spreads the risks,"" he said. If there is more interest and it will be more economical to build a larger unit, he believes that no one will object to taking full advantage of the opportunity.

Stane Rožman, the former long-term head of the Krško Nuclear Plant (NEK), called for a clear formal political decision that Krško 2 should be built. The coordination of the project should also be clearly set. Siting procedures should start this year, including the environmental impact assessment and a special team should be set up at Gen Energija dealing only with this project, he said.

""We are at a point where we have to say yes or no to Krško 2. If we say yes, there is no going back, there is only action and hard work,"" he said. He also said that NEK's performance so far was certainly an excellent stepping stone for Slovenia to continue using nuclear energy also beyond 2043, when its lifespan expires under the current plans.

Krško Mayor Janez Kerin expects the municipality to be an active partner in all Krško 2 proceedings, as it has plenty of expertise and experience after decades of living with NEK. He assessed the cooperation with Gen Energija so far as excellent. Krško is in favour of a new nuclear power plant and is aware of the positive and negative effects of Krško 2, as well as the fact the project is a long-term commitment, he said.

Slovenia has only one nuclear power station, the Krško Nuclear Plant (NEK), which it co-owns with Croatia. The plant was built with Western technology and launched in the early 1980s. Its lifespan has in recent years been expanded until 2043.",environmental issue,environmental issue
"Schedule of events for Tuesday, 23 May","LJUBLJANA - The National Assembly plenary continues with a debate on amendments to the Animal Protection Act, proposed declaration on the Holodomor in Ukraine, and a bill on infrastructure for alternative fuels; Parliament House, Šubičeva 4, 9am.

HANOI, Vietnam - Foreign Minister Tanja Fajon will wrap up her visit to Vietnam with talks with her counterpart Bui Thang Son and President Pham Minh Chinh.

BRUSSELS, Belgium - Defence Minister Marjan Šarec will attend a meeting of EU defence ministers dedicated to continued military support to Ukraine.

BRUSSELS, Belgium - Minister of Higher Education and Science Igor Papič will attend a session of EU ministers in charge of research and space.

SZENTGOTTHARD, Hungary - Economy Minister Matjaž Han will visit the Slovenian minority in Hungary accompanied by a business delegation; statement for the press at SKIC, Gardonyi 1, 3:15pm.

KRANJ - President Nataša Pirc Musar will organise the first in a planned series of presidential forums. The topic will be healthcare; Brdo Mansion, Predoslje 39, 10am.

LJUBLJANA - Public debate marking one year since the start of strike activities at public broadcaster RTV Slovenija Cankarjev Dom, Prešernova 10, 7pm.

BRDA - International conference on hydrogen infrastructure in the North Adriatic featuring officials from Slovenia, Croatia, Friuli Venezia Giulia and the European Commission; Vila Vipolže, Vipolže 29, 9am.

MARIBOR - Signing of an agreement on state co-financing of the renovation of a track-and-field stadium; Ljudski Vrt Stadium, 11am.

LJUBLJANA - Outbrain, an online advertising giant, will host a conference on the future of media and advertising; Outbrain, Dunajska 5, 10am.

LJUBLJANA - Official opening of the international ballet festival Dance Nights; Cankarjev Dom, Prešernova 10, 6pm.

LJUBLJANA - The Statistics Office will release consumer confidence data for May.

In case of further queries contact the duty editor at +386 1 241 0115 or english@sta.si:

7:30am to 2pm: Zlatko Midžić
2pm to 10pm: Maja Slana

Follow us on:

Twitter https://twitter.com/STA_English

Facebook https://www.facebook.com/STA.English","economy, business and finance","economy, business and finance"
"News roundup - Monday, 30 January, until 3 pm","<b>Two Russia spies apprehended in Ljubljana</b>

LJUBLJANA - The Slovenian intelligence and security agency SOVA apprehended and detained in December, in cooperation with the National Bureau of Investigation (NBI), two foreign citizens accused of spying for Russia, the newspaper Delo and news portal Siol reported. The alleged spies were arrested in an office building in Ljubljana where they were based under the pretence of being businessmen. The Ljubljana District Prosecution told the STA that this was the first time they handled suspects for the crime of espionage.

<b>Slovenia proposing new labels for honey origin in the EU</b>

BRUSSELS, Belgium - Slovenia will present at today's session of EU agriculture ministers an initiative for changes to the directive on honey introducing more detailed labelling of honey origin, Agriculture Minister Irena Šinko told the STA ahead of the meeting. Nineteen countries support the changes. Slovenia would like the label to state the country of origin or how much of the honey comes from each country. This should apply for EU countries and third countries, she said.

<b>NGO suing former interior minister over referendum claims</b>

LJUBLJANA - The NGO 8 March Institute is suing former Interior Minister Aleš Hojs for damages over his allegations on Twitter that water shortages during the massive fires in the Kras region last summer were the result of a referendum on the waters act initiated by the NGO. The institute demands EUR 3,000 in damages. Members of the 8 March Institute told the press they had been a target of insulting tweets by previous government officials on many occasions.

<b>Slovenia's largest solar power plant exceeded targets last year</b>

LJUBLJANA/HRASTNIK - The largest solar power plant in Slovenia, located in a rehabilitated and closed section of the Prapretno landfill near Hrastnik, produced 3,015 megawatts of electricity between April and December 2022, which is 8% above plans, the state-owned power utility HSE said. According to HSE, the power plant currently produces enough electricity to sustain some 820 households for a year.

<b>Deželna Banka's net profit up by more than half in 2022</b>

LJUBLJANA - Deželna Banka Slovenije, one of the smallest Slovenian banks, posted a net profit of EUR 7.38 million last year, up 52% from 2021, and so the bank's management considers 2022 a successful year despite a demanding situation. ""We generated EUR 8.28 million in pre-tax profit, or 39% more than the year before, and achieved 11.19% return on equity, which is 33% more than in 2020,"" the management wrote in the unaudited business report for 2022.

<b>Mysterious cave paintings in Slovenia hidden in Bestažovca Cave</b>

DIVAČA - Prehistoric cave paintings are extremely rare in the area southeast of the Alps, but in 2009 a scientist exploring karst caves stumbled upon an interesting find of more than 50 red and black lines and dots in Bestažovca Cave, south-west Slovenia. The first such discovery in Slovenia, the drawings are believed to be at least 7,000 years old.

<b>Festival highlights city theatres of former Yugoslav countries</b>

LJUBLJANA - The Ruta Grupa Triglav travelling theatre festival will kick off at the Ljubljana City Theatre (MGL), bringing together five other city theatres from the former Yugoslavia. The festival aims to strengthen cooperation and bring high-quality theatre to the region. This is the second time Ljubljana will be one of the host cities.

<b>Couch Festival bringing concerts, events to unconventional venues</b>

LJUBLJANA - A festival turning homes, offices and other public and private spaces into event venues kicks off today. Until 5 February, some 190 concerts and artistic performances will be held in towns and villages across Slovenia as well as in Italy's Trieste. More than 125 groups from 25 countries will perform.","arts, culture and entertainment",politics
Analyst: Đukanović's defeat creates political vacuum in Montenegro,"Đukanović leaving office marks the start of the end of his more than his 30-year political career and probably indicates that his Democratic Party of Socialists (DPS) will lose in the June early general election, he said.

According to him, ""a large part of the political elite is trying to project the idea to the much divided Montenegrin society that frictions will decrease only when Đukanović leaves the political arena"".

However, Kočan believes Đukanović's defeat creates a political vacuum in which two dominating ideas of Montenegro will clas - a pro-Serbian and a liberal pro-European one.

The pro-Serbian movement strives for better regional cooperation and a strong role of the Serbian Orthodox Church, while the liberal pro-European current would like Montenegro to be part of Euro-Atlantic integration and implement a model of ethnic heterogeneity.

Kočan believes these two ideas will clash in the coming months and years and the outcome will show what Đukanović's defeat means for Montenegro and the region.

Jakov Milatović and his ""Europe Now!"" Movement has presented itself as a kind of alternative to Đukanović and the pro-Serbian Democratic Front, but it is not clear yet whether this was just a good political move or Milatović is serious about his plans, the analyst said.

According to him, Đukanović's defeat is an opportunity to redefine Montenegro's relations with Serbia and the role of the Serbian Orthodox Church in the Montenegrin society.

""In a sense, the defeat of Đukanović is most likely also a defeat of the idea of the Montenegrin Orthodox Church and its potential autocephaly. It also opens the door wide to better relations between Montenegro and Serbia and to the preservation of the role of the Serbian Orthodox Church in Montenegrin society as one of the central pillars ensuring the cohesiveness of Montenegrin society"", he said.

Đukanović's political career started crumbling in 2019 and 2020, when protests were held against corruption in the country and against the law on religious freedom, with which Đukanović tried to reduce the influence of the Serbian Orthodox Church while consolidating the Montenegrin Orthodox Church, Kočan said.

""In doing so, he opened a Pandora's box that has brought Montenegrin society, which has been increasingly dissatisfied with Đukanović over the Serbian Orthodox Church as well as corruption and cronyism, to the point where it has got a sense of his vulnerability,"" he said.

As soon as the second round of election was announced, it was clear that Đukanović would lose the presidential race, because the voters voted against Đukanović and not for Milatović, Kočan, a researcher at the Centre for International Relations at the Faculty of Social Sciences in Ljubljana, told the STA.",politics,politics
"Daily headlines - Tuesday, 14 February","<b>DELO</b>

<b>Pension funds</b>
""Pension funds doing worst so far"": While the government is working on a pension reform to ensure decent pensions for all, last year pension funds suffered losses. (front page, 3)

<b>NATO</b>
""Speed saves lives"": Warehouses storing weapons and ammunition in NATO member states are becoming increasingly empty due to aid to Ukraine, so NATO is encouraging members to increase production of weapons, including by building new plants. (front page, 5)

<b>Piran aquarium</b>
""Offspring expected in Piran"": The Piran Aquarium is looking forward to the hatching of baby musky octopuses in the spring. (front page, 17)

<b>DNEVNIK</b>

<b>Border fence</b>
""Business deal of the century: You erect a fence and you tear it down"": The Interior Ministry has picked the same company for tearing down the fence on the border with Croatia that had erected it. The company will earn another EUR 7 million. (front page, 2)

<b>Nominee for interior minister</b>
""Committee happy with Poklukar"": The parliamentary Home Affairs Committee backed the nominee for interior minister, Boštjan Poklukar, in a 9:6 vote after his presentation on Monday. (front page, 3)

<b>Healthcare bonuses</b>
""Director of the Ljubljana Community Health Centre gets bonus too"": Antonija Poplas Susič, director of the Ljubljana Community Health Centre, is on the list of directors of community health centres in Ljubljana who have in the past received performance bonuses. (front page, 8)

<b>FINANCE</b>

<b>Inspections</b>
""What inspectors will focus on at companies this year"": The paper looks at what tax, customs, construction, labour, market and other inspectors focussed on last year and ponders what they might scrutinise this year. (front page, 2, 3)

<b>Janković family</b>
""Damijan Janković withdraws proposal for writing off his EUR 5 million debt. A new manoeuvre?"": A Ljubljana court was supposed to decide these days whether to write off millions in debts owed by Damijan Janković, a son of the Ljubljana mayor, but he withdrew the proposal before it could be decided on. (front page, 4, 5)

<b>Housing</b>
""Golob will further lower your wages: The Vienna housing model costs 1% of your wage!"": The renting system in Vienna, which is to serve as a model for a housing policy in Slovenia, is financed by employers and employees with each paying half a precent on a gross pay. (front page, 5)

<b>VEČER</b>

<b>Ukraine war</b>
""Oasis in war hell"": The paper presents the life in Lviv in western Ukraine, noting that sirens are a common feature but so are tourists. (front page, 3)

<b>Nominee for interior minister</b>
""Old face overcomes hurdle"": The nominee for interior minister, Boštjan Poklukar, has announced a fierce battle against corruption. (front page, 2)

<b>Hisense centre</b>
""'Brains' staying in Velenje"": Hisense Europe, the Chinese-owned group which also includes Velenje-based household appliances maker Gorenje, has turned a former Gorenje sales showroom into an R&D centre. The renovation cost EUR 2.1 million. (front page, 2, 23)","economy, business and finance",politics
Essential services being restored in worst affected parts of Koroška (adds),"An emergency headquarters set up in the town after a makeshift gravel road was established for vital supplies in Sunday said that electricity had since been restored to parts of the municipality, which has a population of some 3,300. Healthcare has also been re-established.

A hundred members of the Slovenian Armed Forces, hundred firefighters and many volunteers have headed to the town to help in the clean-up and flood relief effort, the emergency headquarters announced on Monday.

The headquarters comprises representatives of civil protection, medical staff, mountain rescuers, firefighters and other staff.

They said utility teams had restored power through the entire town of Črna, while some hamlets remain cut off.

Efforts are under way in Črna to repair the riverbeds of the Meža and one of the tributaries, which were flooding Črna and the surrounding areas for more than two days. Building machinery teams are also removing debris from roads.

A medical unit at the Črna Community Health Centre is open round the clock. Slovenia has meanwhile asked Austria for assistance in providing medical services to people who have been cut off from the rest of Slovenia and were evacuated via Austria.

Work is under way to restore road links and water supply throughout the Koroška region. Many companies in the region remain closed and many roads are unpassable, as dozens of landslides loom.

In Prevalje the main concern is to restore water supply as the water pipes are broken in several parts. Mayor Matic Tasič told the STA they had asked the army to provide two pontoon bridges to which a pipeline could be attached.

They will also try to get portable toilets, in particular for people in apartment blocks. The mayor expressed concern about the impact of the situation on public health.

In Mežica, flood waters destroyed all eight bridges, only one is passable conditionally, Mayor Mark Maze told the STA.

Defence Minister Marjan Šarec said on Sunday that the military would take over the clean-up efforts in Koroška, with the STA learning today that the headquarters are to be set up in Mežica, a town north of Črna.

Landslides are still threatening several houses, while the mayor described the damage to road and utility infrastructure and to businesses as disastrous. He hopes for a bridge to be set up to the right bank of the Meža River so that companies such as Cablex-M and Ferolin ""can salvage what can still be salvaged"".

In Dravograd more than 250 people had to be evacuated due to a looming landslide. They expect assistance with heavy machinery from Postojna today, but water supply in the municipality has been restored.

Power is being restored throughout Koroška. Elektro Celje, the utility covering the region and the broader area around Celje, said most of the homes remain without power in the upper Savinja Valley.

In the area covered by Elektro Ljubljana, most households remain without power in the area of Kamnik, north of Ljubljana, and Zidani Most, east of Ljubljana.

Even if the rain stopped late on Sunday, firefighters were deployed for the fourth night in a row in various parts of the country to help people under threat of floods or landslides, mostly in Koroška and the Pomurje region in the north-east.

Data from the Civil Protection and Disaster Relief Administration shows that 62 fire brigades were on the ground dealing with the consequences of heavy rain, strong gusts of wind and hail and the aftermath of the massive flooding.

Flood waters persist along the rivers Mura, Drava and Sava. Hydrologist Janez Polajnar said on Sunday that the levees on the Mura needed to hold for another day to prevent a disaster.

Due to the soggy ground, landslides will remain a major risk for a while longer. Many were triggered on Sunday, in particular in Koroška and the Savinja Valley.",disaster and accident,disaster and accident
Weather: Mostly clear,"It will be mostly sunny on Wednesday. A south-westerly wind will blow. Showers and storms will be possible in the afternoon and evening in northern and western Slovenia.

Changeable weather with showers and storms is forecast for Thursday.",weather,weather
"Average wage up 11.3% in November, mostly due to bonuses","The average gross wage for November 2022 amounted to EUR 2,244.35, which is 10.9% higher on a monthly basis nominally and 9.9% in real terms.

This is mostly due to extraordinary payments to employees such as 13th month pay and Christmas bonuses, which amounted to an average of EUR 928.90 gross, up 16.6% compared to the same payment in November 2021.

The 13th salary and/or Christmas bonuses were paid out in November 2022 to 23.4% of all employed persons, the Statistics Office noted.

Compared to October, the average gross wage increased in November both in the private sector (+13.9%) and the public sector (+5.4%).

In November, the average gross wage was the highest in finance and insurance (EUR 3,673.05), where it also saw the largest increase compared to October (30.3%).","economy, business and finance","economy, business and finance"
Fmr money laundering tzar investigated for abuse of office (adds),"The police and the state prosecution are investigating whether Žugelj violated the law, abused his office and the Office for Money Laundering Prevention in launching the extensive investigation, N1 says.

N1 reports on Saturday that a short anonymous letter, received by the Office for Money Laundering Prevention during the time of Slovenia's previous, Janša-led government, had triggered one of the most extensive investigations ever performed by the office.

In only three weeks, the office sent 238 demands to banks to look into 195 bank accounts, N1 says. ""I have never heard of such an extensive investigation by this office, especially based on an anonymous letter,"" the first director of the office, Klaudijo Stroligo, told N1.

Necenzurirano reported a while ago that Slovenia's then Prime Minister Janša had struck a deal with Serbian President Vučić before last year's general election.

Janša was allegedly interested in his then rival and now Prime Minister Robert Golob and the business of Gen-I, the company Golob headed a long time, in the Balkans, the portal said.

Vučić was allegedly interested in the transactions of Dragan Đilas, a Serbian opposition leader, and Dragan Šolak, the Serbian co-owner of United, the parent company of N1 and Telemach, among others.

Janša rejected for N1 the report about his alleged deal with Vučić as absurd insinuations.

Citing the charges against Žugelj and other documents, N1 says that the office had inspected the bank accounts of Šolak, his immediate and distant family, the accounts of his companies in Slovenia and the private bank accounts of all managers in these companies.

The office also looked into the bank account of Branko Čakarmiš, now the general director of media company Pro Plus, the owner of broadcasters POP TV and Kanal A, and then the broadcasters' programme director.

Čakarmiš's account was inspected because the anonymous letter mentions a company called ASPN, in which Čakarmiš was director and part owner for a while in 2006, N1 says.

Necenzurirano also says that a part of the large volume of documents amassed by the Office for Money Laundering Prevention during that investigation had gone missing.

Žugelj meanwhile told N1 that the anonymous letter was ""rather extensive and specific, and could be described as wistleblowing"".

N1 says that the Financial Administration (FURS), then led by Ivan Simič, a prominent supporter of Janša's, had joined the investigation. The two bodies sent criminal complaints to the police against more than ten companies and individuals in Slovenia and abroad. But the investigation could not confirm the suspicions raised in the complaints.

N1 says that one of the key leads investigated by Žugelj was cash flow of EUR 80 million Telemach received between 2007 and 2021. This turned out to be the proceeds of cash payments by subscribers who pay their bills at Telemach offices, where the payment is commission-free.

United group and its co-owner Šolak reacted to the report in the afternoon. ""It is unbelievable and alarming that such primitive abuse was even possible in an EU member state in 2022,"" N1 reported Šolak as saying in a written statement.

""As someone who loves Slovenia and whose immediate family members are Slovenian, I sincerely hope that the state systems will show that the rule of law exists in Slovenia and that those responsible will be appropriately sanctioned,"" said Šolak.

The United group called on the relevant institutions to investigate whether ""illegal methods unbecoming of a democracy have been used against us, and to find who is responsible"", according to N1.

The media group also expects the relevant institutions to inform it whether data about its companies and its employees had been abused, where the documents are stored and whether all data has been appropriately protected. The group also expects a clear answer as to whether the investigation entailed political abuse of institutions.","crime, law and justice","crime, law and justice"
Minister talks plant protection products with French counterpart,"The bilateral meeting was held on the sidelines of an event organised by Fesneau during the international agricultural show SIA.

Šinko and Fesneau underscored good cooperation between their countries and discussed topical issues in agriculture, including the European Commission's proposal for a regulation on the sustainable use of plant protection products.

Slovenia's main concern is the proposed ban on the use of all plant protection products in specific, sensitive areas, the ministry said in a press release, ""as the objectives of reducing pesticide use should be achieved in a way that does not reduce agricultural production, thereby jeopardising the EU's food security and increasing dependence on food imports"".

Starting her visit to the SIA show on Monday, Šinko met representatives of French and Slovenian farmers' organisations.

Following today's meeting with Fesneau, the Slovenian minister took part in an event co-hosted by Slovenia and France to discuss agricultural land management.

Slovenia's agricultural land management model, family farm system and sustainable agriculture model were presented at the event. Šinko said that France and Slovenia were very different in size, but faced similar problems. Many young farmers face the problem of access to new arable lands, she noted, while also talking about the general situation in Slovenian agriculture.

Šinko held a number of other bilateral meetings on the sidelines of the SIA show, including with representatives of the French National Research Institute for Agriculture, Food and the Environment (INRAE) and the French Agricultural Technical Institute (ACTA).

The SIA fair will end on Sunday and until then Slovenia will keep showcasing its beekeeping, viticulture and winemaking, fine cuisine and tourism.","economy, business and finance","economy, business and finance"
