headline,lede,text,high_label,proposed_label
New bill on Slovenia's digital transformation in the making,"The Ministry for Digital Transformation is preparing a new umbrella bill on digitalisation of Slovenia, Minister Emilija Stojmenova Duh announced on Tuesday. The bill is to give priority to digital services such as electronic delivery and signing of documents, she said.","Implementing the 'digital first' principle, the new law will make sure that ""nobody will ask you to sign a document by hand any more but a digital signature will fully suffice"", the minister told the press.

E-signature is enough even under the current legislation but some still demand meetings in person or documents sent by regular mail, she said. The new law will enable documents to be safely delivered digitally, she stressed.

The draft bill is ready and will be finalised during the summer before it is sent to ministries for discussion. It is not clear when the bill could be passed, but Stojmenova Duh hopes it will be this year.

The minister also pointed to the European Chips Act, which aims to strengthen the EU's role in the production of computer chips. The EU is currently producing around 10-12% of all chips, but wants to raise this share to at least 20% in the coming years. The EU will spend more than EUR 40 billion to support this industry, and member states are also expected to invest in this field.

In Slovenia, the ministries of digital transformation, higher education, science and innovation, and economy, tourism and sport have joined forces with the Chip.SI Competence Centre, which brings together Slovenian research organisations and companies.

Together, they presented their plans, including funding, to the European Commission. ""The ministries will provide the funds ourselves within the possibilities we have in our budgets, and we will also help the competence centre to access EU funding,"" Stojmenova Duh said.

The ministries have also been successfully cooperating with Austrian counterparts. Several Austrian companies produce chips, while Slovenian companies are very good at designing and developing them.

The Ministry for Digital Transformation also plans to set up 222 Digi Info points around the country to offer support to citizens in using digital services.

A computer equipment renting scheme, envisaged by the changes to the Promotion of Digital Inclusion Act, is to be introduced this year.",education,"['crime, law and justice', 'politics', 'economy, business and finance']"
Weather: Cold and mostly dry,"North and east Slovenia will see mainly cloudy weather on Thursday whereas the rest of the country will have clear skies. Local showers will be possible in the north-east. Morning lows will range from -7 to 2 degrees Celsius and daily highs from 4 to 12 degrees, with westerly and northerly winds blowing.","The outlook for Friday is for clear weather in the west and more clouds in the east, with the north-east possibility getting some rain. On Saturday, it should be mostly dry and party clear, but windy.",weather,['weather']
Boštjan Poklukar nominated for new interior minister,"Prime Minister Robert Golob has nominated Boštjan Poklukar for new minister of the interior, to replace Tatjana Bobnar, who resigned in December, the National Assembly confirmed for the STA on Monday. Poklukar already held this position in the government of Marjan Šarec (2018-2020).","Poklukar now awaits a hearing before the relevant parliamentary committee. If his bid is later endorsed by parliament, he will take over at the Interior Ministry once again, replacing Bobnar, who stepped down last December citing political meddling in the police force, an allegation which the government has dismissed.

Previously, Bobnar was appointed police commissioner during Poklukar's first term as interior minister from September 2018 to March 2020.

Holding a master's degree in public administration sciences, Poklukar used to be a member of the Marjan Šarec List (LMŠ), a party that was merged into the current ruling party Freedom Movement last year, so now he is a member of the prime minister's party.

Since 1991, he has been employed by the Defence Ministry and he is a member of the Slovenian Armed Forces, where he has served in various capacities. He was awarded the Bronze Medal of General Maister and the Silver Medal of the Slovenian Armed Forces, and he was also honoured as a veteran of the war for Slovenian independence.

He has worked for the Defence Ministry's Administration for Civil Protection and Disaster Relief, where he was the head of the Kranj Regional Information Centre. He also served as the administration's public relations officer responsible for migration and during this time he was actively involved in efforts to tackle the refugee crisis in 2015 and 2016.

The issue of migration was also one of the priorities of his first term at the helm of the Interior Ministry.

Since June last year, he has been head of the Defence Ministry's Administration for Military Heritage.

The nomination comes after several NGOs wrote to Prime Minister Golob to take into account that the Interior Ministry was a key institution for people's security and prosecution of crime and protection of human rights and fundamental freedoms.

Katarina Bervar Sternad, the head of the Legal-Information centre for NGOs, told newspaper Dnevnik that Poklukar was one of the ministers who had listened but dialogue with him had not yielded any results.

Based on NGOs' past experience and expectations, they believe that he is not the right candidate for this post.",politics,['politics']
Weather: Partly cloudy,"Saturday morning will be partly cloudy, but the clouds will disperse during the day. Morning lows will range from 10 to 15 degrees Celsius, around 18 on the coast, while daytime highs will hit 27 to 31 degrees.",On Sunday and Monday the weather will be mostly clear and the temperatures will continue to rise.,weather,['weather']
Cinkarna Celje shareholders decide against dividend payout,"The shareholders of the chemical company Cinkarna Celje decided on Wednesday to carry over EUR 25 million in undistributed profit. The AGM voted down three dividend payout proposals, ultimately following the management's proposal. The company has received energy crisis state aid, meaning it cannot pay out dividends without being fined.","The management said in April that a dividend payout was not planned. If the company paid out even a part of the profit this year, it would have to repay the aid with interest.

Meanwhile, two small shareholder associations and Envestor, a company, each submitted their own counter proposals, all of which were voted down.

The Pan-Slovenian Small Shareholders' Association (VZMD) proposed EUR 23.4 million or EUR 3 gross a share be paid out in 2024. Small Shareholders of Slovenia (MDS) proposed a payout of EUR 21.69 million or EUR 2.776 apiece and reserving EUR 3.05 million to repay the state aid. Envestor wanted a payout of EUR 25 million or EUR 3.2 in 2024.

VZMD issued a press release saying the decision was ""yet another serious and damaging step backwards in the attitude toward investors and in the shareholder and corporate management culture"".

On the other hand, the management welcomed the outcome. ""Our competition has several plants outside Europe, where electricity and natural gas are significantly cheaper,"" CEO Aleš Skok said.

He added that estimates showed Cinkarna was to receive between EUR 5 million and EUR 7 million in state aid this year to mitigate the effects of the energy crisis.","economy, business and finance","['economy, business and finance']"
Pirc Musar meets minority ahead of visit to Italy,"President Nataša Pirc Musar met on Monday with representatives of the Slovenian minority in Italy to discuss the current challenges they face, before she heads to Italy to meet with her counterpart Sergio Mattarella.","The talks revolved around efforts to guarantee seats to minority representatives in the Italian parliament. Ever since Italy adopted a constitutional reform cutting the number of MPs and senators, chances of ethnic Slovenians securing a seat are slimmer, the minority representatives said.

Discussing topical issues with the president were Senator Tatjana Rojc, a member of the Slovenian minority, Ksenija Dobrila, head of the Slovenian Cultural and Economic Union, Marko Jarc, the chair of the parity committee on Slovenian minority matters, and regional councillor Marko Pisani, the president's office said.

Pirc Musar pledged her continuous support to the European Capital of Culture 2025 cross-border project hosted by Slovenia's Nova Gorica and Italy's Gorizia, hopeful that the Slovenian minority in Italy as well as the Italian minority in Slovenia will, as much as possible, seize the opportunities the project has to offer.

""I would like to express my sincere thanks to the Slovenian ethnic minority in Italy for their dedicated work. Their participation in public life is key for a democratic society,"" Pirc Musar said.

The president also held talks with representatives of the Italian minority in Slovenian, MP Felice Žiža and the head of the Coastal Self-Government Community Alberto Scheriani. They touched on challenges for the economy and education, and support for the minority's media outlets.

The talks were an introduction to Pirc Musar's working visit to Italy, which she starts on Friday. She will meet with Mattarella in Rome, pay a visit to Slovenian troops in Naples and have an audience with Pope Francis in Vatican.",politics,"['politics', 'social issue']"
13th EuroBiotech biotechnology congress opens in Ljubljana,"The 13th EuroBiotech opened in Ljubljana on Wednesday as the Slovenian capital is hosting the biotechnology congress for the first time. The three-day event will see experts discuss progress and challenges of various fields of biotechnology, which is also rapidly developing in Slovenia.","Polona Žnidaršič Plazl of the Ljubljana Faculty of Chemistry and Chemical Technology, the organiser of EuroBiotech 2023, said ahead of the event that biotechnology was a promising field that addressed key challenges such as food, health, environment and energy.

Slovenian and foreign experts will thus discuss various fields of biotechnology, such as medical, food, agricultural, environmental, industrial, marine and water biotechnology, and talk about biocatalytic processes (biocatalysis).

As the event opened, Helena Prosen, vice-dean of the Faculty of Chemistry and Chemical Technology, told the participants that biotechnology was developing rapidly and was considered to have very good future prospects also in Slovenia.

She singled out the pharmaceutical industry in particular as a progressive and recognisable field in Slovenia in which biotechnology is present.

""Pharmaceutical companies have definitely recognised the value of biotechnological processes and are developing them at an accelerated pace to produce medications,"" Prosen noted.

She added that there were many small companies in Slovenia that were active in this field, but have not yet managed to place their products in the market.

Maja Ravnikar, the director of the National Institute of Biology, sees the congress as an opportunity to raise awareness among stakeholders about biotechnology having high added value that ""needs to be cultivated in order to develop the economy"".

Roman Jerala, a biochemist and researcher at the Institute of Chemistry, said in his opening address that there was a lack of properly qualified staff in the pharmaceutical industry. He called for measures to make young people enthusiastic about it.

Jerala told the STA that the pharmaceutical industry was not the only well-developed field in Slovenia. ""Biotechnology is also developing well in medicine, especially in terms of cancer immunotherapy and treatment of genetic diseases,"" he said.

He expects even greater progress in biotechnology in Slovenia in the next five to ten years. ""Technologies such as machine learning, mRNA and others are being increasingly applied, which will enable more accessible treatment for patients.""

EuroBiotech is hosted by the European Biotechnology Thematic Network Association, this year in cooperation with the Ljubljana Faculty of Chemistry and Chemical Technology, National Institute of Biology and the University of Zagreb.",science and technology,['science and technology']
Slovenian Jug new alternate member of Carinthia state government,"The Austrian Social Democratic Party (SPÖ) has appointed members to the government of the Austrian federal state of Carinthia, keeping most of the same names but naming a new alternate member - Manuel Jug, a member of Slovenian minority. The SPÖ will form a coalition with the Austrian People's Party (ÖVP).","Manuel Jug has led the Association of Slovenian Organisations (ZSO), an umbrella minority association in Carinthia, since 2019 and has advocated for preserving and strengthening the Slovenian language.

The National Council of Carinthian Slovenians (NSKS), another minority umbrella in Carinthia, wrote that it is paying close attention to the coalition negotiations on the new regional government and expressed an expectation that Carinthian Slovenians will be included in its programme. According to NSKS, some open questions are financing of bi- and multilingual kindergartens and a bilingual judiciary, Austrian public broadcaster ORF reported.

Carinthia Governor Peter Kaiser (SPÖ) and Martin Gruber (ÖVP) said on Friday that the two parties will continue to work together and will form a coalition for the next five years.

The SPÖ won the regional election with 38.9% votes, which is a significant drop from the 48% it received five years ago. The Freedom Party (FPÖ) came in second with 24.5% of the votes, followed by the ÖVP with 17% and Team Kärnten with 10.1%.

Hermann Srienz (SPÖ), a bilingual mayor of Feistritz ob Bleiburg, has secured a spot in Carinthia's assembly, as has Franc Jožef Smrtnik, a Carinthian Slovenian running for Team Kärnten.",politics,['politics']
Police investigating bomb threats in four shopping malls,"The police received messages on Friday that explosive devices had been planted in four shopping centres in Maribor and Celje. No such devices were found, Maribor and Celje police said after searching the premises.","The City Center and Planet Tuš malls in Celje were evacuated because the police also received a phone call from a man threatening that he would kill himself at the entrance of one of the two shopping centres and there was suspicion that the events could be related, Celje police said.

No explosive devices were found and the man who threatened with suicide was hospitalised, the police said, adding that an investigation is ongoing.

Maribor police also received a message that bombs had been planted in two of the city's shopping centres, but the press release did not say which ones.

The police searched the shopping centres and their surroundings, and talked to in-house security and employees. They did not find an explosive devices at any of the two locations.","arts, culture and entertainment","['crime, law and justice', 'human interest', 'disaster and accident']"
Stock market down,"The SBI TOP index on the Ljubljana Stock Exchange shed 0.46% on Monday as most big players lost ground. Port operator Luka Koper was the winner of the day, going up 1.46%. In total, EUR 1.2 million worth of securities changed hands.","<pre>
<b>Index                Change %</b>
SBITOP     1,256.40    -0.46%
SBITOP TR  1,645.51    -0.45%
ADRPR      1,597.00    -0.26%

<b>Stock                     Price  Change</b>
Cinkarna Celje          24.8000   0.81%
Krka                   112.0000  -0.88%
Luka Koper              34.7000   1.46%
NLB                     81.6000   0.74%
Petrol                  24.6000  -1.20%
Sava-RE                 25.3000  -1.56%
Telekom Slovenije       49.6000  -0.40%
Zavarovalnica Triglav   34.5000  -1.15%



London Stock Exchange
                                                                   Price  Change
NLB (in form of global depositary receipts; 1 share makes 5 GDRs)  16.00   1.27%
</pre>","economy, business and finance","['economy, business and finance']"
Electricity price cap in 2024 for 90% of household consumption,"The government will continue to regulate electricity prices for households in 2024 but the current cap will apply only to 90% of their consumption, Minister Bojan Kumer, who is in charge of energy, told the STA on Wednesday. Gas prices and electricity prices for other consumers will no longer be capped.","Retail prices of electricity for households, small commercial consumers, protected consumers and small and medium-sized companies are capped until the end of the year.

Taking into account that VAT on energy products for heating returned to the higher level in June and that the contribution for electricity from renewable sources is charged again, electricity prices per average household consumer would rise by 30% in January on December when the cap expired.

However, the government has decided to extend the cap where it will also make a step toward phasing out regulation and encouraging households to save on energy.

Thus the price valid now will apply to 90% of the consumption and market prices will be charged for the remaining 10%. Both prices will be listed separately on the electricity bill.

A simulation at current prices shows the bill per average consumer, consuming 4,035 MWh a year of which 45% at higher and 55% at lower tariff, will go up by 3.7%, from EUR 70.3 in September to EUR 73 in January.

The regulated prices will apply to households and electricity consumed in communal areas of multi-apartment or multi-apartment and commercial buildings.

The decree on the regulation was endorsed by the relevant cabinet committee on Tuesday and is expected to be adopted by the government on 19 October.

The government will compensate suppliers for the difference between the regulated and market prices, which is expected to cost the budget EUR 29-36 million in 2024.

A total of EUR 350 million has been earmarked for all measures to mitigate high energy prices this year and the next, but Kumer said that at least EUR 40 million less would in fact be needed.

Prices will no longer be capped for other consumers. The EU framework for aid for businesses expired in May and companies had been urged to buy electricity for 2024 and going forward.

Kumer said that at current prices the price for a three-year purchase of electricity would be just slightly higher than the capped price.

Natural gas prices will also ceased to be capped. ""The situation on the market is different than last year, the stockpiles are full, the reliability of supply is much better and we don't see unpredictability during winter either,"" he said.

He expects market prices to be 10-15% lower than the regulated prices. The price for household consumers is capped at EUR 73 per MWh, and the new price could be below EUR 60 per MWh.

""We're counting on additional reductions during the year or after the end of the season and we don't see any need for capping prices for the time being,"" the minister said.

""However, if suppliers abused or raised prices due to potentially less competition on the market, the government will definitely cap prices,"" he added.","economy, business and finance","['economy, business and finance', 'social issue']"
Weather: Mostly sunny with morning fog,"Another sunny and warm day awaits Slovenians on Wednesday with morning fog in some basins. A weak bora wind will blow in the western Primorska region, and easterly winds will push through other parts of the country.","Morning lows will stand between 7 and 13 degrees Celsius, up to 16 on the coast, while daytime highs will range from 20 to 25 degrees, up to 28 in Primorska.

The sunny and warm weather should continue on Thursday and Friday. Morning fog is expected in low-lying areas.",weather,['weather']
Day of remembrance for victims of communism cancelled (adds),"Just hours before Slovenia was due to mark National Day of Remembrance for Victims of Communism, the government revoked late on Tuesday a decree by its predecessors that created the memorial day with the argument that it was declared without a ""public and expert debate"".","The national memorial day was created by the Janez Janša government by decree on 12 May 2022, when the previous government was already in caretaker capacity, and just days before its term ended and the Robert Golob government was sworn in.

The reasoning at the time was that communist violence left thousands of dead on Slovenian soil between 1941 and 1946, while affecting hundreds of thousands more in the subsequent decades of communist rule.

The date was picked in memory of the killing of 49 people, including 44 Roma, in the Iška Gorge, south of Ljubljana, in 1942.

The declaration of the memorial day was met with criticism by the left, which argued at the time that the underlying desire was to embroil the nation in an endless culture war.

The decision by the current government was expected given that the Social Democrats (SD), the junior coalition partners, said last week that the decree should be repealed since it is ""mostly about revisionism and does nothing to reconcile the people.""

Janša described the decision on Twitter as ""one of the most abhorrent and disgraceful acts in the history of independent Slovenia"" and an ""insult to all those who have at least a shred of sympathy for fellow humans.""

He accused the government of rehabilitating communist crimes and annulling ""exceptional reconciliation efforts by a generation that made Slovenia democratic and independent.""

The government is ""once again ready to fill pits and mining shafts with those who think differently,"" he said in a reference to mass graves of opponents of communism who were killed after the Second World War.

Matej Tonin, head of the Christian democratic New Slovenia (NSi) wrote on Twitter that many people alive today had suffered under communism and many lost their loved ones.

He feels this is not about being on the right side of history, it is about fundamental values and respect for the dead. ""Alas, the current government is not capable of such broad-mindedness.""","crime, law and justice","['unrest, conflicts and war', 'crime, law and justice', 'social issue']"
Weather: Storms and showers,"The skies will be changeably cloudy in Slovenia on Friday with local showers and storms, some fairly strong, continuing into the night. Morning lows will stand between 14 and 19 degrees Celsius, up to 21 on the coast. Daytime highs will reach 31 degrees in the western Primorska region and range from 23 to 28 in the rest of the country.","The Environment Agency has issued a level orange storm warning for the entire country.

More of the same is forecast for Saturday, while Sunday will be mostly sunny.",weather,['weather']
Dnevnik disappointed by legislation on recording of working time,"Commenting on the passage of the changes to labour legislation that aim to curb violations of working hours provisions by introducing recording of additional data on working hours, the newspaper Dnevnik says on Monday that many concessions were made to appease employers, which watered down the proposal and made it less effective.","Inspections show that violations of workers' rights concerning working time are still frequent, especially in industries where there is not enough workers such as the construction and the hospitality sector.

Recording arrival and departure, breaks and work in special conditions would be welcome, but remarks are also justified as to whether there should be a distinction between jobs where this is urgently needed and where employees have more autonomy in picking where and when they do the work.

A major slip by the coalition was to first say that only higher education professors and researchers would be exempt from the new rules. Trade unions, employers and law experts justifiably protested.

""Time will tell whether or not it will be possible to implement the law that now envisages no exceptions, but we can already say that it is problematic that employers will be able to keep records in writing or electronically.""

Originally, electronic records were to be obligatory for all, but the ministry led by Luka Mesec, the head of the Left party, agreed to a controversial compromise solution after an outcry of employers, which significantly lowers efficient oversight, as inspectors cannot act against employers who have papers showing that workers worked for eight hours from Monday until Friday.

""Even if it will be more detailed such record keeping will in practice be subject to the same risks and methods of cheating as so far,"" Dnevnik says.

A step forward is only mandatory electronic records of working hours for companies that have been fined for violating labour legislation. ""An important step forward indeed but it would be justifiably expected that this coalition, especially given the parties it consists of, would be more ambitions in protecting workers' rights.""",labour,['labour']
Spanish prime minister pays visit,"Spanish Prime Minister Pedro Sanchez will be on an official visit to Slovenia on Friday at the invitation of Slovenian Prime Minister Robert Golob. The situation in Ukraine, energy policy, migrations, and EU enlargement policy in the Western Balkans will top the agenda, Golob's office has said.","The meeting comes in the run-up to Spain's presidency of the EU in the second half of the year, which will provide the backdrop to the talks.

Sanchez has embarked on a mini tour of the EU in advance of his country's EU presidency to exchange opinions with leaders on the most pressing issues before Spain unveils its presidency agenda.

In addition to meeting Golob, he will also have a meeting with National Assembly Speaker Urška Klakočar Zupančič.",politics,['politics']
Commentator sees reshuffle as attempt to defuse tensions,"The coming government reshuffle is an attempt by Prime Minister Robert Golob to defuse political and social tensions, political analyst Tanja Starič told the STA after Golob nominated a new health minister and it was revealed two ministers are likely on the way out.","The political developments are turbulent but not unexpected given that the government's problems started before the summer, but these problems were then pushed to the background by the flooding, she said.

Neither is it unexpected that the opposition has decided to initiate an ouster motion against Public Administration Minister Sanja Ajanović Hovnik given new revelations that have put her in a ""complex and difficult position,"" according to Starič.

The biggest problem for Golob concerning Ajanović Hovnik is that she is the chief negotiator with trade unions, where a billion euros is at stake. ""If the prime minister replaced a key minister in the final phase of negotiations, this is a big problem for him,"" Starič said.

Coupled with criticism that the post-flood reconstruction has been sluggish, Golob had no other chance but to opt for a government reshuffle, which will redirect public attention to other ministers.

""The fact is, however, that the prime minister has targeted his ministers. These are not ministers whose departure would complicate relations in the coalition,"" she said.

Commenting on the nomination of Valentina Prevolnik Rupel for health minister, Starič said her starting position was not bad since she was not a novice at the ministry and she enjoyed the support of the strategic council for healthcare.",politics,['politics']
Weather: Cloudy and wet,Another cloudy day awaits Slovenia on Thursday with local showers in western and central parts of the country. The precipitation should gradually abate in the afternoon.,"Snow will fall in the Alps at altitudes between 1,000 and 1,200 metres. Morning lows will stand between 2 and 8 degrees Celsius, up to 10 degrees in the western Primorska region, and daytime highs between 9 and 14 degrees, up to around 17 in the west.

Unstable weather with afternoon showers is forecast for Friday, while Saturday should be sunny and warm.",weather,['weather']
President calls for reform of UN,"A country being discussed in the Security Council or at the UN General Assembly should not have the right to vote or veto, said President Nataša Pirc Musar in an interview with the Austrian news agency APA on the sidelines of the European Forum Alpbach. She also believes that an African country should have a permanent seat in the UNSC.","""When as the aggressor you are sitting at the table in a debate, you should not have the right to vote on what the rest of the world has to say. I am convinced of that,"" the president stressed, saying that this would be ethically just.

She said that after the Second World War, the international community did not expect any of the five permanent members of the UN Security Council to start a war. Now the veto power that these countries have must be discussed, she believes.

She pointed out that nothing could be done about the war in Ukraine because Russia will always veto Security Council resolutions and General Assembly resolutions are not binding.

""That is why we need to talk about a reform of the UN"", she said in the light of Slovenia's upcoming membership in the Security Council, while acknowledging this will not be easy.

Pirc Musar also believes a permanent seat on the council should be given to an African country, because 75% of the issues discussed by the body are Africa-related. ""Personally, I would support that because I think they should have a say,"" she said.

She pointed out that, in addition to the war in Ukraine, there are currently more than 30 wars in the world that should not be forgotten. ""We need to tackle conflicts, not just one - even though the war in Ukraine has caused problems all over the world. But it is a big world,"" the president said in the interview published today.

Slovenia will become a member of the UN Security Council for two years in January and will be granted observer status in October.","unrest, conflicts and war","['unrest, conflicts and war', 'crime, law and justice']"
Slovenia records biggest road fatalities drop in EU in 2022,"Road accidents in the EU claimed around 20,600 lives last year, up by 3% on 2021, while Slovenia recorded the biggest year-on-year drop with road deaths decreasing by 25%, show preliminary data published by the European Commission on Tuesday.","Compared to the pre-pandemic 2019, the number of road deaths in 2022 dropped by some 10% or 2,000 people, with Slovenia recording 40 fatalities per one million inhabitants, down 17% compared to 2019 and 6 below the EU average.

The overall ranking of countries' fatality rates has not changed significantly since prior to the pandemic with the safest roads being in Sweden (21 deaths per one million inhabitants) and Denmark (26 per one million). Romania and Bulgaria reported the highest rates in 2022 with 86 and 78 deaths per million, respectively.

Road safety has been a core element of recent EU mobility policy initiatives, the European Commission said. In 2018, the EU has set the target of cutting the number of road deaths by 50% until 2030.",disaster and accident,"['disaster and accident', 'lifestyle and leisure']"
Govt urged to make primary education truly free of charge (adds),A children's charity has called on the authorities to fully enact the right to free primary education as enshrined in the constitution as it noted the various costs related to primary education that the parents have to pay.,"The Ljubljana Moste-Polje Association of Friends of Youth said in a statement on Monday that its humanitarian work with children and families showed that the right enshrined in Article 57 of the constitution was not fully implemented.

It noted that the parents of school children paid the costs of school meals, workbooks and other accessories, and the costs of compulsory optional content such as trips, excursions, shows and similar.

The dances marking the end of primary school are also becoming an increasing cost, the association noted.

""The work and programmes of primary schools should not be financed by parents and students,"" it said, adding that primary schools should charge only the material costs of the activities as part of the non-compulsory optional part of education.

As an example, the association noted outdoor education which are part of the compulsory programme under the primary school act, and should thus be fully covered by the state budget.

The charity has thus proposed amending the article of the organisation and financing of education act that stipulates that education is financed also from ""contributions of students"".

""This would abolish the legal basis in accordance with which primary schools implement programmes and activities and determine the obligation to purchase instructional materials financed from contributions of students and parents.""

The association concluded by saying that the letter addressed to the Education Ministry aimed at realising the commitment from the coalition agreement that public and free education must remain the foundation of solidarity-based society.

The Education Ministry responded by pointing to a number of systemic measures that it believes help ensure equal conditions for all students, regardless of their socio-economic status or other personal circumstances.

It mentioned free borrowing of textbooks, subsidised school meals, co-financing of outdoor education and adjusted programmes for children with special needs, and noted that the extensive network of primary schools ensured that children went to school close to their homes.

As for school meals, the ministry said it supported in principle the proposal to make these meals free of charge, as this issue is planned to be regulated as part of the coalition agreement.

""It is important to note, however, that changes ... must be introduced gradually, with careful consideration and in a planned manner,"" it added.",education,"['education', 'economy, business and finance', 'social issue']"
"Slovenia beat Georgia, move closer to FIBA World Cup q-finals","The Slovenian men's basketball team posted its second win in as many games at the FIBA World Cup in Japan's Okinawa on Monday, beating Georgia 88:67 (16:17, 45:33, 63:50). Slovenia have thus clinched the first spot in their preliminary play group, taking an important step towards a quarter-finals berth.","Like in the opening game against Venezuela, Slovenia flew on the back of NBA star Luka Dončić, who collected 34 points, 10 rebounds and 6 assists.

Slovenia will play Cape Verde in their final Group F game on Wednesday. They cannot afford a blunder, as the results will carry over into the second round where two more games are scheduled against a pool of teams presently consisting of Germany, Australia and Japan. The top two teams will qualify for the quarter-finals.

This was the 14th victory for Slovenia - ranked 7th in world following a EuroBasket championship in 2017 and fourth place at the 2020 Tokyo Olympics - in what have been 25 World Cup matches for the team so far.",sport,['sport']
Pirc Musar advocates efforts for just and lasting peace in Ukraine,"Taking part in a debate on the situation in Ukraine at a meeting of the Arraiolos Group in Porto on Friday, President Nataša Pirc Musar expressed support for efforts for a just and lasting peace in Ukraine. She also participated in a discussion on next year's EU Parliament elections, stressing the importance of the fight against disinformation.","During the first debate, the president noted that no solution would last if it was not based on dialogue and an agreement reached through negotiations.

Pirc Musar highlighted the importance of solidarity with Ukraine, respect for international law and fundamental European values, the president's office said.

The EU's unity is key in this, she added. ""We will continue to provide assistance to Ukraine in line with our capacities and as long as necessary,"" she said as she lauded the country's progress in its EU accession efforts.

During the second debate, the president focused on the need for joint response to climate change. In this context too, she highlighted the importance of solidarity and mutual help. She also thanked heads of state whose countries helped Slovenia after the devastating floods in early August.

Joint and immediate action is urgent in the face of climate emergencies around the globe, she said. ""Our duty is to act in line with efforts to mitigate climate change and take concrete action to make these aspirations reality.""

In climate action plans one needs to take into account the aspect of protecting human rights and gender equality and involve civil society in the debate. Climate and water security will be among Slovenia's priorities when the country serves as a non-permanent member of the UN Security Council in 2024 and 2025, the president said.

Regarding the 2024 European Parliament elections, Pirc Musar talked about disinformation and stressed the importance of the fight against it in order to preserve democratic processes in the EU.

She also expressed support for further efforts to strengthen a unified, solidarity-based, strong and resilient EU and called for the bloc's enlargement to the Western Balkans by 2030.

The Arraiolos Group, named after the first meeting held in 2003 in Arraiolos in Portugal, brings together presidents of Austria, Bulgaria, Croatia, Estonia, Finland, Germany, Greece, Hungary, Ireland, Italy, Latvia, Malta, Poland, Portugal and Slovenia.

This is the first time Pirc Musar attended one of the group's meetings, which serve as an informal platform to discuss the situation in the EU and worldwide and are held once a year.",politics,"['politics', 'environmental issue']"
Photos of everyday life in Spain put on show in Ljubljana,A photo exhibition tracing Spain's non-tangible heritage between 1858 and 1988 will open at the Slovenian Ethnographic Museum (SEM) in Ljubljana on Thursday as part of a cultural programme of Spain's EU presidency.,"Intangible. Heritage and Collective Memory was prepared by the Spanish Culture Ministry, and executed by SEM in collaboration with the Spanish Embassy in Ljubljana.

The exhibition offers an insight into the Spanish collective memory through work, relationships, gestures, images of everyday life, celebrations and professions.

The photos put on show were taken by Jean Laurent, Mariano Moreno, Baltasar Cue, Aurelio de Colmenares y Orgaz, Pedro Ibarra, Eustasio Villanueva Gutierrez, Otto Wunderlich, Antonio Passaporte, Loty, Luis Escobar Lopez, and Cristina Garcia Rodero.

Photographers in Spain were commissioned to document movable and non-movable heritage, such as cathedrals, monasteries, museums or precious items, as early as in the 19th century.

Some of them were also attracted to non-tangible heritage - people and their way of living, an important segment of every culture and as such recognised by UNESCO.

The exhibition also testifies to the ability of photographers to observe everyday life.

Its curators Antonio Munoz Carrion and Maria Pia Timon Tiemblo say that their photos help better understand life in the past, what has been lost, and what has survived and/or changed.

The exhibition will be on until 19 November.","arts, culture and entertainment","['arts, culture and entertainment']"
